year,draft_picks_detail,draft_picks_r1_2,draft_picks_r3_7
1985,Tony Casillas (R1); Kevin Murphy (R2); Jeff Tupper (R5); Marcus Dupree (R12); 1 (R1987),2,1
1986,Steve Bryan (R5); Spencer Tillman (R5); Paul Migliazzo (R8),0,2
1987,Rickey Dixon (R1); Keith Jackson (R1); Dante Jones (R2); Mark Hutson (R3); Greg Johnson (R4); Lydell Carr (R4); Darrell Reed (R5); Troy Johnson (R5); Jon Phillips (R6); Derrick White (R6); Derrick Crudup (R7); Caesar Rentie (R7); Patrick Collins (R8),3,9
1988,Anthony Stafford (R6); Eric Mitchell (R6); Tony Woods (R8); Anthony Phillips (R12),0,2
1989,Kevin Thompson (R6); Leon Perry (R9); Ken McMichel (R12),0,1
1990,Adrian Cooper (R4); James Goode (R5); Frank Blevins (R7); Scott Evans (R8); Tom Backes (R10),0,3
1991,Joe Bowden (R5); Brian Brauninger (R6); Mike Gaddis (R6); Stacey Dillard (R6); Terry Ray (R6); Jason Belser (R8); Corey Mayfield (R10); Brandon Houston (R12); Chris Wilson (R12),0,5
1992,Darnell Walker (R7); Joey Mickey (R7),0,2
1993,Aubrey Beavers (R2); Rickey Brady (R6),1,1
1995,Cedric Jones (R1); Jerald Moore (R3); Darrius Johnson (R4); Harry Stamps (R5); Wendell Davis (R6); J. R. Conrad (R7),1,5
1996,Barron Tanner (R5); Rod Manuel (R6),0,2
1997,Stephen Alexander (R2); Martin Chase (R5); Travian Smith (R5); Sammy Williams (R6),1,3
1998,Jermaine Fazande (R2); De'Mond Parker (R5); Kelly Gregg (R6),1,2
1999,Stockar McDougle (R1); William Bartee (R2),2,0
2000,Torrance Marshall (R3); Josh Heupel (R6),0,2
2001,Roy Williams (R1); Rocky Calmus (R3),1,1
2002,Andre Woolfolk (R1); Quentin Griffin (R4); Jimmy Wilkerson (R6); Trent Smith (R7),1,3
2003,Tommie Harris (R1); Teddy Lehman (R2); Derrick Strait (R3),2,1
2004,Jammal Brown (R1); Mark Clayton (R1); Brodney Pool (R2); Mark Bradley (R2); Dan Cody (R2); Brandon Jones (R3); Antonio Perkins (R4); Donte Nicholson (R5); Mike Hawkins (R5); Lance Mitchell (R5); Wes Sims (R6),5,6
