year,game_order,date,opponent,site_text,home_away_guess,result,team_score,opp_score,notes
1948,10,November 27,Oklahoma A&M,Lewis Field,unknown,W,19,15,
1948,11,"January 1, 1949",North Carolina,Tulane Stadium,unknown,W,14,6,
1949,1,September 23,Boston College,Braves Field,unknown,W,46,0,
1949,2,October 1,Texas A&M,Memorial Stadium,home,W,33,13,
1949,3,October 8,Texas,Cotton Bowl,neutral,W,20,14,
1949,4,October 15,Kansas,Memorial Stadium,home,W,48,26,
1949,5,October 22,Nebraska,Memorial Stadium,home,W,48,0,
1949,6,October 29,Iowa State,Memorial Stadium,home,W,34,7,
1949,7,November 5,Kansas State,Memorial Stadium,home,W,39,0,
1949,8,November 12,Missouri,Memorial Stadium,home,W,27,7,
1949,9,November 19,Santa Clara,Memorial Stadium,home,W,28,21,
1949,10,November 26,Oklahoma A&M,Memorial Stadium,home,W,41,0,
1949,11,"January 1, 1950",LSU,Tulane Stadium,unknown,W,35,0,
1950,1,September 30,Boston College,Oklahoma Memorial Stadium,home,W,28,0,
1950,2,October 7,Texas A&M,Oklahoma Memorial Stadium,home,W,34,28,
1950,3,October 14,Texas,Fair Park,unknown,W,14,13,
1950,4,October 21,Kansas State,Memorial Stadium,home,W,58,0,
1950,5,October 28,Iowa State,Clyde Williams Field,unknown,W,20,7,
1950,6,November 4,Colorado,Folsom Field,unknown,W,27,18,
1950,7,November 11,Kansas,Memorial Stadium,home,W,33,13,
1950,8,November 18,Missouri,Oklahoma Memorial Stadium,home,W,41,7,
1950,9,November 25,Nebraska,Memorial Stadium,home,W,49,35,
1950,10,December 2,Oklahoma A&M,Lewis Field,unknown,W,41,14,
1950,11,"January 1, 1951",Kentucky,Tulane Stadium,unknown,L,7,13,
1951,1,September 29,William & Mary,Oklahoma Memorial Stadium,home,W,49,7,
1951,2,October 6,Texas A&M,Kyle Field,unknown,L,7,14,
1951,3,October 13,Texas,Cotton Bowl,neutral,L,7,9,
1951,4,October 20,Kansas,Oklahoma Memorial Stadium,home,W,33,21,
1951,5,October 27,Colorado,Oklahoma Memorial Stadium,home,W,55,14,
1951,6,November 3,Kansas State,Memorial Stadium,home,W,33,0,
1951,7,November 10,Missouri,Memorial Stadium,home,W,34,20,
1951,8,November 17,Iowa State,Oklahoma Memorial Stadium,home,W,35,6,
1951,9,November 24,Nebraska,Memorial Stadium,home,W,27,0,
1951,10,December 1,Oklahoma A&M,Oklahoma Memorial Stadium,home,W,41,6,
1952,1,September 27,Colorado,Folsom Field,unknown,T,21,21,
1952,2,October 4,Pittsburgh,Oklahoma Memorial Stadium,home,W,49,20,
1952,3,October 11,Texas,Cotton Bowl,neutral,W,49,20,
1952,4,October 18,Kansas,Memorial Stadium,home,W,42,20,
1952,5,October 25,Kansas State,Oklahoma Memorial Stadium,home,W,49,6,
1952,6,November 1,Iowa State,Clyde Williams Stadium,unknown,W,41,0,
1952,7,November 8,Notre Dame,Notre Dame Stadium,unknown,L,21,27,
1952,8,November 15,Missouri,Oklahoma Memorial Stadium,home,W,47,7,
1952,9,November 22,Nebraska,Oklahoma Memorial Stadium,home,W,34,13,
1952,10,November 29,Oklahoma A&M,Lewis Field,unknown,W,54,7,
1953,1,September 26,Notre Dame,Oklahoma Memorial Stadium,home,L,21,28,
1953,2,October 3,Pittsburgh,Pitt Stadium,unknown,T,7,7,
1953,3,October 10,Texas,Cotton Bowl,neutral,W,19,14,
1953,4,October 17,Kansas,Oklahoma Memorial Stadium,home,W,45,0,
1953,5,October 24,Colorado,Oklahoma Memorial Stadium,home,W,27,20,
1953,6,October 31,Kansas State,Memorial Stadium,home,W,34,0,
1953,7,November 7,Missouri,Memorial Stadium,home,W,14,7,
1953,8,November 14,Iowa State,Oklahoma Memorial Stadium,home,W,47,0,
1953,9,November 21,Nebraska,Memorial Stadium,home,W,30,7,
1953,10,November 28,Oklahoma A&M,Oklahoma Memorial Stadium,home,W,42,7,
1953,11,"January 1, 1954",Maryland,Burdine Stadium,unknown,W,7,0,
1954,1,September 18,California,California Memorial Stadium,home,W,27,13,
1954,2,September 25,TCU,Oklahoma Memorial Stadium,home,W,21,16,
1954,3,October 9,Texas,Cotton Bowl,neutral,W,14,7,
1954,4,October 16,Kansas,Memorial Stadium,home,W,65,0,
1954,5,October 23,Kansas State,Oklahoma Memorial Stadium,home,W,21,0,
1954,6,October 30,Colorado,Folsom Field,unknown,W,13,6,
1954,7,November 6,Iowa State,Clyde Williams Stadium,unknown,W,40,0,
1954,8,November 13,Missouri,Oklahoma Memorial Stadium,home,W,34,13,
1954,9,November 20,Nebraska,Oklahoma Memorial Stadium,home,W,55,7,
1954,10,November 27,Oklahoma A&M,Lewis Field,unknown,W,14,0,
1955,1,September 24,North Carolina,Kenan Memorial Stadium,home,W,13,6,
1955,2,October 1,Pittsburgh,Owen Field,home,W,26,14,
1955,3,October 8,Texas,Cotton Bowl,neutral,W,20,0,
1955,4,October 15,Kansas,Owen Field,home,W,44,6,
1955,5,October 22,Colorado,Owen Field,home,W,56,21,
1955,6,October 29,Kansas State,Memorial Stadium,home,W,40,7,
1955,7,November 5,Missouri,Memorial Stadium,home,W,20,0,
1955,8,November 12,Iowa State,Owen Field,home,W,52,0,
1955,9,November 19,Nebraska,Memorial Stadium,home,W,41,0,
1955,10,November 26,Oklahoma A&M,Owen Field,home,W,53,0,
1955,11,"January 2, 1956",Maryland,Burdine Stadium,unknown,W,20,6,
1956,1,September 29,North Carolina,Oklahoma Memorial Stadium,home,W,36,0,
1956,2,October 6,Kansas State,Oklahoma Memorial Stadium,home,W,66,0,
1956,3,October 13,Texas,Cotton Bowl,neutral,W,45,0,
1956,4,October 20,Kansas,Memorial Stadium,home,W,34,12,
1956,5,October 27,Notre Dame,Notre Dame Stadium,unknown,W,40,0,
1956,6,November 3,Colorado,Folsom Field,unknown,W,27,19,
1956,7,November 10,Iowa State,Clyde Williams Stadium,unknown,W,44,0,
1956,8,November 17,Missouri,Oklahoma Memorial Stadium,home,W,67,14,
1956,9,November 24,Nebraska,Oklahoma Memorial Stadium,home,W,54,6,
1956,10,December 1,Oklahoma A&M,Lewis Field,unknown,W,53,0,
1957,1,September 21,Pittsburgh,Pitt Stadium,unknown,W,26,0,
1957,2,October 5,Iowa State,Oklahoma Memorial Stadium,home,W,40,14,
1957,3,October 12,Texas,Cotton Bowl,neutral,W,21,7,
1957,4,October 19,Kansas,Oklahoma Memorial Stadium,home,W,47,0,
1957,5,October 26,Colorado,Oklahoma Memorial Stadium,home,W,14,13,
1957,6,November 2,Kansas State,Memorial Stadium,home,W,13,0,
1957,7,November 9,Missouri,Memorial Stadium,home,W,39,14,
1957,8,November 16,Notre Dame,Oklahoma Memorial Stadium,home,L,0,7,
1957,9,November 23,Nebraska,Memorial Stadium,home,W,32,7,
1957,10,November 30,Oklahoma State,Oklahoma Memorial Stadium,home,W,53,6,
1957,11,"January 1, 1958",Duke,Burdine Stadium,unknown,W,48,21,
1958,1,September 27,West Virginia,Oklahoma Memorial Stadium,home,W,47,14,
1958,2,October 4,Oregon,Oklahoma Memorial Stadium,home,W,6,0,
1958,3,October 11,Texas,Cotton Bowl,neutral,L,14,15,
1958,4,October 18,Kansas,Memorial Stadium,home,W,43,0,
1958,5,October 25,Kansas State,Oklahoma Memorial Stadium,home,W,40,6,
1958,6,November 1,Colorado,Folsom Field,unknown,W,23,7,
1958,7,November 8,Iowa State,Clyde Williams Field,unknown,W,20,0,
1958,8,November 15,Missouri,Oklahoma Memorial Stadium,home,W,39,0,
1958,9,November 22,Nebraska,Oklahoma Memorial Stadium,home,W,40,7,
1958,10,November 29,Oklahoma State,Lewis Field,unknown,W,7,0,
1958,11,"January 1, 1959",Syracuse,Burdine Stadium,unknown,W,21,6,
1959,1,September 26,Northwestern,Dyche Stadium,unknown,L,13,45,
1959,2,October 3,Colorado,Oklahoma Memorial Stadium,home,W,42,12,
1959,3,October 10,Texas,Cotton Bowl,neutral,L,12,19,
1959,4,October 17,Missouri,Memorial Stadium,home,W,23,0,
1959,5,October 24,Kansas,Oklahoma Memorial Stadium,home,W,7,6,
1959,6,October 31,Nebraska,Memorial Stadium,home,L,21,25,
1959,7,November 7,Kansas State,Memorial Stadium,home,W,36,0,
1959,8,November 14,Army,Oklahoma Memorial Stadium,home,W,28,20,
1959,9,November 21,Iowa State,Oklahoma Memorial Stadium,home,W,35,12,
1959,10,November 28,Oklahoma State,Oklahoma Memorial Stadium,home,W,17,7,
1960,1,September 27,Northwestern,Oklahoma Memorial Stadium,home,L,3,19,
1960,2,October 1,Pittsburgh,Oklahoma Memorial Stadium,home,W,15,14,
1960,3,October 8,Texas,Cotton Bowl,neutral,L,0,24,
1960,4,October 15,Kansas,Memorial Stadium,home,T,13,13,
1960,5,October 22,Kansas State,Oklahoma Memorial Stadium,home,W,49,7,
1960,6,October 29,Colorado,Folsom Field,unknown,L,0,7,
1960,7,November 5,Iowa State,Clyde Williams Field,unknown,L,6,10,
1960,8,November 12,Missouri,Oklahoma Memorial Stadium,home,L,19,41,
1960,9,November 19,Nebraska,Oklahoma Memorial Stadium,home,L,14,17,
1960,10,November 26,Oklahoma State,Lewis Field,unknown,W,17,6,
1961,1,September 30,Notre Dame,Notre Dame Stadium,unknown,L,6,19,
1961,2,October 7,Iowa State,Oklahoma Memorial Stadium,home,L,15,21,
1961,3,October 14,Texas,Cotton Bowl,neutral,L,7,28,
1961,4,October 21,Kansas,Oklahoma Memorial Stadium,home,L,0,10,
1961,5,October 28,Colorado,Oklahoma Memorial Stadium,home,L,14,22,
1961,6,November 4,Kansas State,Memorial Stadium,home,W,17,6,
1961,7,November 11,Missouri,Memorial Stadium,home,W,7,0,
1961,8,November 18,Army,Yankee Stadium,unknown,W,14,8,
1961,9,November 25,Nebraska,Memorial Stadium,home,W,21,14,
