year,game_order,date,opponent,site_text,home_away_guess,result,team_score,opp_score,notes
1976,7,October 23,Oklahoma State,Oklahoma Memorial Stadium,home,L,24,31,
1976,8,October 30,Colorado,Folsom Field,unknown,L,31,42,
1976,9,November 6,Kansas State,Oklahoma Memorial Stadium,home,W,49,20,
1976,10,November 13,Missouri,Oklahoma Memorial Stadium,home,W,27,20,
1976,11,November 26,Nebraska,Memorial Stadium,home,W,20,17,
1976,12,December 25,Wyoming,Sun Devil Stadium,unknown,W,41,7,
1977,1,September 10,Vanderbilt,Oklahoma Memorial Stadium,home,W,25,23,
1977,2,September 17,Utah,Oklahoma Memorial Stadium,home,W,62,24,
1977,3,September 24,Ohio State,Ohio Stadium,unknown,W,29,28,
1977,4,October 1,Kansas,Oklahoma Memorial Stadium,home,W,24,9,
1977,5,October 8,Texas,Cotton Bowl,neutral,L,6,13,
1977,6,October 15,Missouri,Faurot Field,unknown,W,21,17,
1977,7,October 22,Iowa State,Oklahoma Memorial Stadium,home,W,35,16,
1977,8,October 29,Kansas State,KSU Stadium,unknown,W,42,7,
1977,9,November 5,Oklahoma State,Lewis Field,unknown,W,61,28,
1977,10,November 12,Colorado,Oklahoma Memorial Stadium,home,W,52,14,
1977,11,November 25,Nebraska,Oklahoma Memorial Stadium,home,W,38,7,
1977,12,"January 1, 1978",Arkansas,Miami Orange Bowl,neutral,L,6,31,
1978,1,September 9,Stanford,Stanford Stadium,unknown,W,35,29,
1978,2,September 16,West Virginia,Oklahoma Memorial Stadium,home,W,52,10,
1978,3,September 23,Rice,Oklahoma Memorial Stadium,home,W,66,7,
1978,4,September 30,Missouri,Oklahoma Memorial Stadium,home,W,45,23,
1978,5,October 7,Texas,Cotton Bowl,neutral,W,31,10,
1978,6,October 14,Kansas,Memorial Stadium,home,W,17,16,
1978,7,October 21,Iowa State,Cyclone Stadium,unknown,W,34,6,
1978,8,October 28,Kansas State,Oklahoma Memorial Stadium,home,W,56,19,
1978,9,November 4,Colorado,Folsom Field,unknown,W,28,7,
1978,10,November 11,Nebraska,Memorial Stadium,home,L,14,17,
1978,11,November 18,Oklahoma State,Oklahoma Memorial Stadium,home,W,62,7,
1978,12,"January 1, 1979",Nebraska,Miami Orange Bowl,neutral,W,31,24,
1979,1,September 15,Iowa,Oklahoma Memorial Stadium,home,W,21,6,
1979,2,September 22,Tulsa,Oklahoma Memorial Stadium,home,W,49,13,
1979,3,September 29,Rice,Rice Stadium,unknown,W,63,21,
1979,4,October 6,Colorado,Oklahoma Memorial Stadium,home,W,49,24,
1979,5,October 13,Texas,Cotton Bowl,neutral,L,7,16,
1979,6,October 20,Kansas State,KSU Stadium,unknown,W,38,6,
1979,7,October 27,Iowa State,Oklahoma Memorial Stadium,home,W,38,9,
1979,8,November 3,Oklahoma State,Lewis Field,unknown,W,38,7,
1979,9,November 10,Kansas,Oklahoma Memorial Stadium,home,W,38,0,
1979,10,November 17,Missouri,Faurot Field,unknown,W,24,22,
1979,11,November 24,Nebraska,Oklahoma Memorial Stadium,home,W,17,14,
1979,12,"January 1, 1980",Florida State,Miami Orange Bowl,neutral,W,24,7,
1980,1,September 13,Kentucky,Oklahoma Memorial Stadium,home,W,29,7,
1980,2,September 27,Stanford,Oklahoma Memorial Stadium,home,L,14,31,
1980,3,October 4,Colorado,Folsom Field,unknown,W,82,42,
1980,4,October 11,Texas,Cotton Bowl,neutral,L,13,20,
1980,5,October 18,Kansas State,Oklahoma Memorial Stadium,home,W,35,21,
1980,6,October 25,Iowa State,Cyclone Stadium,unknown,W,42,7,
1980,7,November 1,North Carolina,Oklahoma Memorial Stadium,home,W,41,7,
1980,8,November 8,Kansas,Memorial Stadium,home,W,21,19,
1980,9,November 15,Missouri,Oklahoma Memorial Stadium,home,W,17,7,
1980,10,November 22,Nebraska,Memorial Stadium,home,W,21,17,
1980,11,November 29,Oklahoma State,Oklahoma Memorial Stadium,home,W,63,14,
1980,12,"January 1, 1981",Florida State,Miami Orange Bowl,neutral,W,18,17,
1981,1,September 12,Wyoming,Oklahoma Memorial Stadium,home,W,37,20,
1981,2,September 26,USC,Los Angeles Memorial Coliseum,unknown,L,24,28,
1981,3,October 3,Iowa State,Oklahoma Memorial Stadium,home,T,7,7,
1981,4,October 10,Texas,Cotton Bowl,neutral,L,14,34,
1981,5,October 17,Kansas,Oklahoma Memorial Stadium,home,W,45,7,
1981,6,October 24,Oregon State,Oklahoma Memorial Stadium,home,W,42,3,
1981,7,October 31,Colorado,Oklahoma Memorial Stadium,home,W,49,0,
1981,8,November 7,Kansas State,KSU Stadium,unknown,W,28,21,
1981,9,November 14,Missouri,Faurot Field,unknown,L,14,19,
1981,10,November 21,Nebraska,Oklahoma Memorial Stadium,home,L,14,37,
1981,11,November 28,Oklahoma State,Lewis Field,unknown,W,27,3,
1981,12,December 26,Houston,Sun Bowl,neutral,W,40,14,
1982,1,September 11,West Virginia,Oklahoma Memorial Stadium,home,L,27,41,
1982,2,September 18,Kentucky,Commonwealth Stadium,unknown,W,29,8,
1982,3,September 25,USC,Oklahoma Memorial Stadium,home,L,0,12,
1982,4,October 2,Iowa State,Cyclone Stadium,unknown,W,13,3,
1982,5,October 9,Texas,Cotton Bowl,neutral,W,28,22,
1982,6,October 16,Kansas,Memorial Stadium,home,W,38,14,
1982,7,October 23,Oklahoma State,Oklahoma Memorial Stadium,home,W,27,9,
1982,8,October 30,Colorado,Folsom Field,unknown,W,45,10,
1982,9,November 6,Kansas State,Oklahoma Memorial Stadium,home,W,24,10,
1982,10,November 13,Missouri,Oklahoma Memorial Stadium,home,W,41,14,
1982,11,November 26,Nebraska,Memorial Stadium,home,L,24,28,
1982,12,"January 1, 1983",Arizona State,Sun Devil Stadium,unknown,L,21,32,
1983,1,September 10,Stanford,Stanford Stadium,unknown,W,27,14,
1983,2,September 17,Ohio State,Oklahoma Memorial Stadium,home,L,14,24,
1983,3,September 24,Tulsa,Oklahoma Memorial Stadium,home,W,28,18,
1983,4,October 1,Kansas State,KSU Stadium,unknown,W,29,10,
1983,5,October 8,Texas,Cotton Bowl,neutral,L,16,28,
1983,6,October 15,Oklahoma State,Lewis Field,unknown,W,21,20,
1983,7,October 22,Iowa State,Oklahoma Memorial Stadium,home,W,49,11,
1983,8,October 29,Kansas,Oklahoma Memorial Stadium,home,W,45,14,
1983,9,November 5,Missouri,Faurot Field,unknown,L,0,10,
1983,10,November 12,Colorado,Oklahoma Memorial Stadium,home,W,41,28,
1983,11,November 26,Nebraska,Oklahoma Memorial Stadium,home,L,21,28,
1983,12,December 3,Hawaii,Aloha Stadium,unknown,W,21,17,
1984,1,September 8,Stanford,Oklahoma Memorial Stadium,home,W,19,7,
1984,2,September 15,Pittsburgh,Pitt Stadium,unknown,W,42,10,
1984,3,September 22,Baylor,Oklahoma Memorial Stadium,home,W,34,15,
1984,4,September 29,Kansas State,Oklahoma Memorial Stadium,home,W,24,6,
1984,5,October 13,Texas,Cotton Bowl,neutral,T,15,15,
1984,6,October 20,Iowa State,Cyclone Stadium,unknown,W,12,10,
1984,7,October 27,Kansas,Memorial Stadium,home,L,11,28,
1984,8,November 3,Missouri,Oklahoma Memorial Stadium,home,W,49,7,
1984,9,November 10,Colorado,Folsom Field,unknown,W,42,17,
1984,10,November 17,Nebraska,Memorial Stadium,home,W,17,7,
1984,11,November 24,Oklahoma State,Oklahoma Memorial Stadium,home,W,24,14,
1984,12,"January 1, 1985",Washington,Miami Orange Bowl,neutral,L,17,28,
1985,1,September 28,Minnesota,Hubert H. Humphrey Metrodome,unknown,W,13,7,
1985,2,October 5,Kansas State,KSU Stadium,unknown,W,41,6,
1985,3,October 12,Texas,Cotton Bowl,neutral,W,14,7,
1985,4,October 19,Miami (FL),Oklahoma Memorial Stadium,home,L,14,27,
1985,5,October 26,Iowa State,Oklahoma Memorial Stadium,home,W,59,14,
1985,6,November 2,Kansas,Oklahoma Memorial Stadium,home,W,48,6,
1985,7,November 9,Missouri,Faurot Field,unknown,W,51,6,
1985,8,November 16,Colorado,Oklahoma Memorial Stadium,home,W,31,0,
1985,9,November 23,Nebraska,Oklahoma Memorial Stadium,home,W,27,7,
1985,10,November 30,Oklahoma State,Lewis Field,unknown,W,13,0,
1985,11,December 7,SMU,Oklahoma Memorial Stadium,home,W,35,13,
1985,12,"January 1, 1986",Penn State,Miami Orange Bowl,neutral,W,25,10,
1986,1,September 6,UCLA,Oklahoma Memorial Stadium,home,W,38,3,
1986,2,September 20,Minnesota,Oklahoma Memorial Stadium,home,W,63,0,
1986,3,September 27,Miami (FL),Miami Orange Bowl,neutral,L,16,28,
1986,4,October 4,Kansas State,Oklahoma Memorial Stadium,home,W,56,10,
1986,5,October 11,Texas,Cotton Bowl,neutral,W,47,12,
1986,6,October 18,Oklahoma State,Oklahoma Memorial Stadium,home,W,19,0,
1986,7,October 25,Iowa State,Cyclone Stadium,unknown,W,38,0,
1986,8,November 1,Kansas,Memorial Stadium,home,W,64,3,
1986,9,November 8,Missouri,Oklahoma Memorial Stadium,home,W,77,0,
1986,10,November 15,Colorado,Folsom Field,unknown,W,28,0,
1986,11,November 22,Nebraska,Memorial Stadium,home,W,20,17,
1986,12,"January 1, 1987",Arkansas,Miami Orange Bowl,neutral,W,42,8,
1987,1,September 5,North Texas State,Oklahoma Memorial Stadium,home,W,69,14,
1987,2,September 12,North Carolina,Oklahoma Memorial Stadium,home,W,28,0,
1987,3,September 26,Tulsa,Skelly Stadium,unknown,W,65,0,
1987,4,October 3,Iowa State,Cyclone Stadium,unknown,W,56,3,
1987,5,October 10,Texas,Cotton Bowl,neutral,W,44,9,
1987,6,October 17,Kansas State,KSU Stadium,unknown,W,59,10,
1987,7,October 24,Colorado,Oklahoma Memorial Stadium,home,W,24,6,
1987,8,October 31,Kansas,Memorial Stadium,home,W,71,10,
1987,9,November 7,Oklahoma State,Oklahoma Memorial Stadium,home,W,29,10,
1987,10,November 14,Missouri,Oklahoma Memorial Stadium,home,W,17,13,
1987,11,November 21,Nebraska,Memorial Stadium,home,W,17,7,
1987,12,"January 1, 1988",Miami (FL),Orange Bowl,neutral,L,14,20,
1988,1,September 10,North Carolina,Kenan Memorial Stadium,home,W,28,0,
1988,2,September 17,Arizona,Oklahoma Memorial Stadium,home,W,28,10,
1988,3,September 24,USC,Los Angeles Memorial Coliseum,unknown,L,7,23,
1988,4,October 1,Iowa State,Oklahoma Memorial Stadium,home,W,35,7,
1988,5,October 8,Texas,Cotton Bowl,neutral,W,28,13,
1988,6,October 15,Kansas State,Oklahoma Memorial Stadium,home,W,70,24,
1988,7,October 22,Colorado,Folsom Field,unknown,W,17,14,
1988,8,October 29,Kansas,Oklahoma Memorial Stadium,home,W,63,14,
1988,9,November 5,Oklahoma State,Lewis Field,unknown,W,31,28,
1988,10,November 12,Missouri,Faurot Field,unknown,W,16,7,
1988,11,November 19,Nebraska,Oklahoma Memorial Stadium,home,L,3,7,
1988,12,"January 2, 1989",Clemson,Florida Citrus Bowl,neutral,L,6,13,
1989,1,September 2,New Mexico State,Oklahoma Memorial Stadium,home,W,73,3,
1989,2,September 9,Baylor,Oklahoma Memorial Stadium,home,W,33,7,
1989,3,September 16,Arizona,Arizona Stadium,unknown,L,3,6,
1989,4,September 30,Kansas,Memorial Stadium,home,W,45,6,
1989,5,October 7,Oklahoma State,Oklahoma Memorial Stadium,home,W,37,15,
1989,6,October 14,Texas,Cotton Bowl,neutral,L,24,28,
1989,7,October 21,Iowa State,Cyclone Stadium,unknown,W,43,40,
1989,8,October 28,Colorado,Oklahoma Memorial Stadium,home,L,3,20,
1989,9,November 4,Missouri,Oklahoma Memorial Stadium,home,W,52,14,
1989,10,November 11,Kansas State,Oklahoma Memorial Stadium,home,W,42,19,
1989,11,November 18,Nebraska,Memorial Stadium,home,L,25,42,
1990,1,September 8,UCLA,Rose Bowl,neutral,W,34,14,
1990,2,September 15,Pittsburgh,Oklahoma Memorial Stadium,home,W,52,10,
1990,3,September 22,Tulsa,Oklahoma Memorial Stadium,home,W,52,10,
1990,4,September 29,Kansas,Oklahoma Memorial Stadium,home,W,31,17,
1990,5,October 6,Oklahoma State,Lewis Field,unknown,W,31,17,
1990,6,October 13,Texas,Cotton Bowl,neutral,L,13,14,
1990,7,October 20,Iowa State,Oklahoma Memorial Stadium,home,L,31,33,
1990,8,October 27,Colorado,Folsom Field,unknown,L,23,32,
1990,9,November 3,Missouri,Faurot Field,unknown,W,55,10,
1990,10,November 10,Kansas State,Oklahoma Memorial Stadium,home,W,34,7,
1990,11,,Nebraska,Oklahoma Memorial Stadium,home,W,45,10,
1991,1,September 14,North Texas,Oklahoma Memorial Stadium,home,W,40,2,
1991,2,September 21,Utah State,Oklahoma Memorial Stadium,home,W,55,21,
1991,3,September 28,Virginia Tech,Oklahoma Memorial Stadium,home,W,27,17,
1991,4,October 5,Iowa State,Cyclone Stadium,unknown,W,29,8,
1991,5,October 12,Texas,Cotton Bowl,neutral,L,7,10,
1991,6,October 19,Colorado,Oklahoma Memorial Stadium,home,L,17,34,
1991,7,October 26,Kansas,Oklahoma Memorial Stadium,home,W,41,3,
1991,8,November 2,Kansas State,Oklahoma Memorial Stadium,home,W,28,7,
1991,9,November 9,Missouri,Faurot Field,unknown,W,56,16,
1991,10,November 16,Oklahoma State,Oklahoma Memorial Stadium,home,W,21,6,
1991,11,November 29,Nebraska,Memorial Stadium,home,L,14,19,
1991,12,December 29,Virginia,Gator Bowl Stadium,neutral,W,48,14,
1992,1,September 3,Texas Tech,Jones Stadium,unknown,W,34,9,
1992,2,September 12,Arkansas State,Oklahoma Memorial Stadium,home,W,61,0,
1992,3,September 19,USC,Oklahoma Memorial Stadium,home,L,10,20,
1992,4,October 3,Iowa State,Oklahoma Memorial Stadium,home,W,17,3,
1992,5,October 10,Texas,Cotton Bowl,neutral,L,24,34,
1992,6,October 17,Colorado,Folsom Field,unknown,T,24,24,
1992,7,October 24,Kansas,Memorial Stadium,home,L,10,27,
1992,8,October 31,Kansas State,Oklahoma Memorial Stadium,home,W,16,14,
1992,9,November 7,Missouri,Oklahoma Memorial Stadium,home,W,51,17,
1992,10,November 14,Oklahoma State,Lewis Field,unknown,T,15,15,
1992,11,November 27,Nebraska,Oklahoma Memorial Stadium,home,L,9,33,
1993,1,September 4,TCU,Amon G. Carter Stadium,unknown,W,35,3,
1993,2,September 11,Texas A&M,Oklahoma Memorial Stadium,home,W,44,14,
1993,3,September 25,Tulsa,Oklahoma Memorial Stadium,home,W,41,20,
1993,4,October 2,Iowa State,Cyclone Stadium,unknown,W,24,7,
1993,5,October 9,Texas,Cotton Bowl,neutral,W,38,17,
1993,6,October 16,Colorado,Oklahoma Memorial Stadium,home,L,10,27,
1993,7,October 23,Kansas,Oklahoma Memorial Stadium,home,W,38,23,
1993,8,October 30,Kansas State,KSU Stadium,unknown,L,7,21,
1993,9,November 6,Missouri,Faurot Field,unknown,W,42,23,
1993,10,November 13,Oklahoma State,Oklahoma Memorial Stadium,home,W,31,0,
1993,11,November 26,Nebraska,Memorial Stadium,home,L,7,21,
1993,12,December 24,Texas Tech,Sun Bowl,neutral,W,41,10,
1994,1,September 3,Syracuse,Carrier Dome,unknown,W,30,29,
1994,2,September 10,Texas A&M,Kyle Field,unknown,L,14,36,
1994,3,September 17,Texas Tech,Oklahoma Memorial Stadium,home,W,17,11,
1994,4,October 1,Iowa State,Oklahoma Memorial Stadium,home,W,34,6,
1994,5,October 8,Texas,Cotton Bowl,neutral,L,10,17,
1994,6,October 15,Colorado,Folsom Field,unknown,L,7,45,
1994,7,October 22,Kansas,Memorial Stadium,home,W,20,17,
1994,8,October 29,Kansas State,Oklahoma Memorial Stadium,home,L,20,37,
1994,9,November 5,Missouri,Oklahoma Memorial Stadium,home,W,30,13,
1994,10,November 13,Oklahoma State,Lewis Field,unknown,W,33,14,
1994,11,November 25,Nebraska,Oklahoma Memorial Stadium,home,L,3,13,
1994,12,December 29,BYU,Arizona Stadium,unknown,L,6,31,
1995,1,September 9,San Diego State,Oklahoma Memorial Stadium,home,W,38,22,
1995,2,September 16,SMU,Oklahoma Memorial Stadium,home,W,24,10,
1995,3,September 23,North Texas,Oklahoma Memorial Stadium,home,W,51,10,
1995,4,September 30,Colorado,Oklahoma Memorial Stadium,home,L,17,38,
1995,5,October 7,Iowa State,Cyclone Stadium,unknown,W,39,26,
1995,6,October 14,Texas,Cotton Bowl,neutral,T,24,24,
1995,7,October 21,Kansas,Oklahoma Memorial Stadium,home,L,17,38,
1995,8,October 28,Missouri,Faurot Field,unknown,W,13,9,
1995,9,November 4,Kansas State,KSU Stadium,unknown,L,10,49,
1995,10,November 11,Oklahoma State,Oklahoma Memorial Stadium,home,L,0,12,
1995,11,,Nebraska,Memorial Stadium,home,L,0,37,
1996,1,September 7,TCU,Oklahoma Memorial Stadium,home,L,7,20,
1996,2,September 21,San Diego State,Jack Murphy Stadium,unknown,L,31,51,
1996,3,September 28,Tulsa,Oklahoma Memorial Stadium,home,L,24,31,
1996,4,October 5,Kansas,Oklahoma Memorial Stadium,home,L,24,52,
1996,5,October 12,Texas,Cotton Bowl,neutral,W,30,27,
1996,6,October 19,Baylor,Floyd Casey Stadium,unknown,W,28,24,
1996,7,October 26,Kansas State,KSU Stadium,unknown,L,35,42,
1996,8,November 2,Nebraska,Oklahoma Memorial Stadium,home,L,21,73,
1996,9,November 9,Oklahoma State,Lewis Field,unknown,W,27,17,
1996,10,November 16,Texas A&M,Kyle Field,unknown,L,16,33,
1996,11,November 23,Texas Tech,Oklahoma Memorial Stadium,home,L,12,22,
1997,1,August 23,Northwestern,Soldier Field,unknown,L,0,24,
1997,2,September 6,Syracuse,Oklahoma Memorial Stadium,home,W,36,34,
1997,3,September 20,California,California Memorial Stadium,home,L,36,40,
1997,4,September 27,Louisville,Oklahoma Memorial Stadium,home,W,35,14,
1997,5,October 4,Kansas,Memorial Stadium,home,L,17,20,
1997,6,October 11,Texas,Cotton Bowl,neutral,L,24,27,
1997,7,October 18,Baylor,Oklahoma Memorial Stadium,home,W,24,23,
1997,8,October 25,Kansas State,Oklahoma Memorial Stadium,home,L,7,26,
1997,9,November 1,Nebraska,Memorial Stadium,home,L,7,69,
1997,10,November 8,Oklahoma State,Oklahoma Memorial Stadium,home,L,7,30,
1997,11,November 15,Texas A&M,Oklahoma Memorial Stadium,home,L,7,51,
1997,12,November 22,Texas Tech,Jones Stadium,unknown,W,32,21,
1998,1,September 5,North Texas,Oklahoma Memorial Stadium,home,W,37,9,
1998,2,September 12,TCU,Amon G. Carter Stadium,unknown,W,10,9,
1998,3,September 19,California,Oklahoma Memorial Stadium,home,L,12,13,
1998,4,October 3,Colorado,Oklahoma Memorial Stadium,home,L,25,27,
1998,5,October 10,Texas,Cotton Bowl,neutral,L,3,34,
1998,6,October 17,Missouri,Faurot Field,unknown,L,6,20,
1998,7,October 24,Oklahoma State,Lewis Field,unknown,L,26,41,
1998,8,October 31,Iowa State,Oklahoma Memorial Stadium,home,W,17,14,
1998,9,November 7,Texas A&M,Kyle Field,unknown,L,0,29,
1998,10,November 14,Baylor,Floyd Casey Stadium,unknown,W,28,16,
1998,11,November 21,Texas Tech,Oklahoma Memorial Stadium,home,W,20,17,
1999,1,September 11,,Oklahoma Memorial Stadium,home,W,49,0,
1999,2,September 18,Baylor,Oklahoma Memorial Stadium,home,W,41,10,
1999,3,September 25,Louisville,Papa John's Cardinal Stadium,unknown,W,42,21,
1999,4,October 2,Notre Dame,Notre Dame Stadium,unknown,L,30,34,
1999,5,October 9,Texas,Cotton Bowl,neutral,L,28,38,
1999,6,October 23,Texas A&M,Oklahoma Memorial Stadium,home,W,51,6,
1999,7,October 30,Colorado,Folsom Field,unknown,L,24,38,
1999,8,November 6,Missouri,Oklahoma Memorial Stadium,home,W,37,0,
1999,9,November 13,Iowa State,Jack Trice Stadium,unknown,W,31,10,
1999,10,November 20,Texas Tech,Jones Stadium,unknown,L,28,38,
1999,11,November 27,Oklahoma State,Oklahoma Memorial Stadium,home,W,44,7,
1999,12,December 31,Ole Miss,Independence Stadium,unknown,L,25,27,
2000,1,September 2,UTEP,Oklahoma Memorial Stadium,home,W,55,14,
2000,2,September 9,Arkansas State,Oklahoma Memorial Stadium,home,W,45,7,
2000,3,September 23,Rice,Oklahoma Memorial Stadium,home,W,42,14,
2000,4,September 30,Kansas,Oklahoma Memorial Stadium,home,W,34,16,
2000,5,October 7,Texas,Cotton Bowl,neutral,W,63,14,
2000,6,October 14,Kansas State,KSU Stadium,unknown,W,41,31,
2000,7,October 28,Nebraska,Oklahoma Memorial Stadium,home,W,31,14,
2000,8,November 4,Baylor,Floyd Casey Stadium,unknown,W,56,7,
2000,9,November 11,Texas A&M,Kyle Field,unknown,W,35,31,
2000,10,November 18,Texas Tech,Oklahoma Memorial Stadium,home,W,27,13,
2000,11,November 25,Oklahoma State,Lewis Field,unknown,W,12,7,
2000,12,December 2,Kansas State,Arrowhead Stadium,unknown,W,27,24,
2000,13,"January 3, 2001",Florida State,Pro Player Stadium,unknown,W,13,2,
2001,1,August 25,North Carolina,Oklahoma Memorial Stadium,home,W,41,27,
2001,2,September 1,Air Force,Falcon Stadium,unknown,W,44,3,
2001,3,September 8,North Texas,Oklahoma Memorial Stadium,home,W,37,10,
2001,4,September 29,Kansas State,Oklahoma Memorial Stadium,home,W,38,37,
2001,5,October 6,Texas,Cotton Bowl,neutral,W,14,3,
2001,6,October 13,Kansas,Memorial Stadium,home,W,38,10,
2001,7,October 20,Baylor,Oklahoma Memorial Stadium,home,W,33,17,
2001,8,October 27,Nebraska,Memorial Stadium,home,L,10,20,
2001,9,November 3,Tulsa,Oklahoma Memorial Stadium,home,W,58,0,
2001,10,November 10,Texas A&M,Oklahoma Memorial Stadium,home,W,31,10,
2001,11,November 17,Texas Tech,Jones SBC Stadium,unknown,W,30,13,
2001,12,November 24,Oklahoma State,Oklahoma Memorial Stadium,home,L,13,16,
2001,13,"January 1, 2002",Arkansas,Cotton Bowl,neutral,W,10,3,
2002,1,August 30,Tulsa,Skelly Stadium,unknown,W,37,0,
2002,2,September 7,Alabama,Gaylord Family Oklahoma Memorial Stadium,home,W,37,27,
2002,3,September 14,UTEP,Gaylord Family Oklahoma Memorial Stadium,home,W,68,0,
2002,4,September 28,South Florida,Gaylord Family Oklahoma Memorial Stadium,home,W,31,14,
2002,5,October 5,Missouri,Faurot Field,unknown,W,31,24,
2002,6,October 12,Texas,Cotton Bowl,neutral,W,35,24,
2002,7,October 19,Iowa State,Gaylord Family Oklahoma Memorial Stadium,home,W,49,3,
2002,8,November 2,Colorado,Gaylord Family Oklahoma Memorial Stadium,home,W,27,11,
2002,9,November 9,Texas A&M,Kyle Field,unknown,L,26,30,
2002,10,November 16,Baylor,Floyd Casey Stadium,unknown,W,49,9,
2002,11,November 23,Texas Tech,Gaylord Family Oklahoma Memorial Stadium,home,W,60,15,
2002,12,November 30,Oklahoma State,Lewis Field,unknown,L,28,38,
2002,13,December 7,Colorado,Reliant Stadium,unknown,W,29,7,
2002,14,"January 1, 2003",Washington State,Rose Bowl,neutral,W,34,14,
2003,1,August 30,North Texas,Gaylord Family Oklahoma Memorial Stadium,home,W,37,3,
2003,2,September 6,Alabama,Bryant–Denny Stadium,unknown,W,20,13,
2003,3,September 13,Fresno State,Gaylord Family Oklahoma Memorial Stadium,home,W,52,28,
2003,4,September 20,UCLA,Gaylord Family Oklahoma Memorial Stadium,home,W,59,24,
2003,5,October 4,Iowa State,Jack Trice Stadium,unknown,W,53,7,
2003,6,October 11,Texas,Cotton Bowl,neutral,W,65,13,
2003,7,October 18,Missouri,Gaylord Family Oklahoma Memorial Stadium,home,W,34,13,
2003,8,October 25,Colorado,Folsom Field,unknown,W,34,20,
2003,9,November 1,Oklahoma State,Gaylord Family Oklahoma Memorial Stadium,home,W,52,9,
2003,10,November 8,Texas A&M,Gaylord Family Oklahoma Memorial Stadium,home,W,77,0,
2003,11,November 15,Baylor,Gaylord Family Oklahoma Memorial Stadium,home,W,41,3,
2003,12,November 22,Texas Tech,Jones SBC Stadium,unknown,W,56,25,
2003,13,December 6,Kansas State,Arrowhead Stadium,unknown,L,7,35,
2003,14,"January 4, 2004",LSU,Louisiana Superdome,unknown,L,14,21,
2004,1,September 4,Bowling Green,Gaylord Family Oklahoma Memorial Stadium,home,W,40,24,
2004,2,September 11,Houston,Gaylord Family Oklahoma Memorial Stadium,home,W,63,13,
2004,3,September 18,Oregon,Gaylord Family Oklahoma Memorial Stadium,home,W,31,7,
2004,4,October 2,Texas Tech,Gaylord Family Oklahoma Memorial Stadium,home,W,28,13,
2004,5,October 9,Texas,Cotton Bowl,neutral,W,12,0,
2004,6,October 16,Kansas State,KSU Stadium,unknown,W,31,21,
2004,7,October 23,Kansas,Gaylord Family Oklahoma Memorial Stadium,home,W,41,10,
2004,8,October 30,Oklahoma State,Boone Pickens Stadium,unknown,W,38,35,
2004,9,November 6,Texas A&M,Kyle Field,unknown,W,42,35,
2004,10,November 13,Nebraska,Gaylord Family Oklahoma Memorial Stadium,home,W,30,3,
2004,11,November 20,Baylor,Floyd Casey Stadium,unknown,W,35,0,
2004,12,December 4,Colorado,Arrowhead Stadium,unknown,W,42,3,
2004,13,"January 4, 2005",USC,Pro Player Stadium,unknown,L,19,55,
2005,1,September 3,TCU,Gaylord Family Oklahoma Memorial Stadium,home,L,10,17,
2005,2,September 10,Tulsa,Gaylord Family Oklahoma Memorial Stadium,home,W,31,15,
2005,3,September 17,UCLA,Rose Bowl,neutral,L,24,41,
2005,4,October 1,Kansas State,Gaylord Family Oklahoma Memorial Stadium,home,W,43,21,
2005,5,October 8,Texas,Cotton Bowl,neutral,L,12,45,
2005,6,October 15,Kansas,Arrowhead Stadium,unknown,W,19,3,
2005,7,October 22,Baylor,Gaylord Family Oklahoma Memorial Stadium,home,W,37,30,
2005,8,October 29,Nebraska,Memorial Stadium,home,W,31,24,
2005,9,November 12,Texas A&M,Gaylord Family Oklahoma Memorial Stadium,home,W,36,30,
2005,10,November 19,Texas Tech,Jones SBC Stadium,unknown,L,21,23,
2005,11,November 26,Oklahoma State,Gaylord Family Oklahoma Memorial Stadium,home,W,42,14,
2005,12,December 29,Oregon,Qualcomm Stadium,unknown,W,17,14,
2006,1,September 2,UAB,Gaylord Family Oklahoma Memorial Stadium,home,W,24,17,
2006,2,September 9,Washington,Gaylord Family Oklahoma Memorial Stadium,home,W,37,20,
2006,3,September 16,Oregon,Autzen Stadium,unknown,L,33,34,
2006,4,September 23,Middle Tennessee,Gaylord Family Oklahoma Memorial Stadium,home,W,59,0,
2006,5,October 7,Texas,Cotton Bowl,neutral,L,10,28,
2006,6,October 14,Iowa State,Gaylord Family Oklahoma Memorial Stadium,home,W,34,9,
2006,7,October 21,Colorado,Gaylord Family Oklahoma Memorial Stadium,home,W,24,3,
2006,8,October 28,Missouri,Faurot Field,unknown,W,26,10,
2006,9,November 4,Texas A&M,Kyle Field,unknown,W,17,16,
2006,10,November 11,Texas Tech,Gaylord Family Oklahoma Memorial Stadium,home,W,34,24,
2006,11,November 18,Baylor,Floyd Casey Stadium,unknown,W,36,10,
2006,12,November 25,Oklahoma State,Boone Pickens Stadium,unknown,W,27,21,
2006,13,December 2,Nebraska,Arrowhead Stadium,unknown,W,21,7,
2006,14,"January 1, 2007",Boise State,University of Phoenix Stadium,unknown,L,42,43,
2007,1,September 1,North Texas,Oklahoma Memorial Stadium,home,W,79,10,
2007,2,September 8,Miami (FL),Oklahoma Memorial Stadium,home,W,51,13,
2007,3,September 15,Utah State,Oklahoma Memorial Stadium,home,W,54,3,
2007,4,September 21,Tulsa,Skelly Stadium,unknown,W,62,21,
2007,5,September 29,Colorado,Folsom Field,unknown,L,24,27,
2007,6,October 6,Texas,Cotton Bowl,neutral,W,28,21,
